session_code,title,session_type,url,speakers,abstract,topics,nvidia_technologies
S81493,Securing Coding Assistants [S81493],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81493/,"Rich Harang (Principal AI Security Engineer, NVIDIA); Kody Fisher (Engineering Manager, Cursor); Tom Daniels (CISO, Cursor)","As AI-powered coding assistants become more capable—and begin interacting directly with developer environments—their security risks grow alongside their utility. This session offers a practical demonstration of how vulnerabilities can emerge when these assistants gain computer-use capabilities, exposing new attack surfaces inside the software development life cycle. We then dive into Cursor’s real-world mitigation strategies, showing how hard security controls around critical functions create a flexible balance between capability and risk. Finally, we connect lessons from AI security research, secure application design, and red-teaming exercises to illustrate how organizations can safely unlock higher levels of automation. Together, these practices chart a path toward powerful AI development tools with far lower operational risk.",Public Sector and Sovereign AI,"NCCL, NVIDIA NIM"
S81598,Accelerate the Physical AI Era With Digital Twins and Real-Time Simulation [S81598],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81598/,"Rev Lebaredian (VP of Omniverse and Simulation Technology, NVIDIA)","Join Rev Lebaredian, NVIDIA’s VP of Omniverse and simulation technology, as he shares how digital twins and real-time simulation—powered by OpenUSD and NVIDIA’s accelerated computing platform, libraries, and ecosystem—are accelerating breakthroughs across industries in the era of physical AI. Discover their impact on everything from product design and manufacturing to robotics, autonomous vehicles, smart cities, climate science, and space exploration.",All Industries,"Jetson, RTX GPU, Isaac, Omniverse, Metropolis, Modulus, OVX, cuOPT, PhysX"
S81806,"AI Revolution in Heartcare: Redefining Research, Care, and the Patient Experience [S81806]",Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81806/,"Kimberly Powell (VP, Healthcare and Life Sciences, NVIDIA)","A revolution is transforming healthcare as continuous, intelligent systems link scientific discovery to everyday care. Advances in open models, simulation, and agent orchestration are creating AI-native research environments where ideas are explored, tested, and scaled across digital and physical labs with unprecedented speed. This next generation of R&D is shifting from slow iteration to rapid, data-driven innovation. AI agents, clinical copilots, and robotics are redefining healthcare delivery, becoming integral to hospital operations, diagnosis, and treatment. Hospitals and clinics now function as adaptive learning systems that anticipate needs, extend clinical research, and elevate patient experience through intelligent, connected technologies. Discover how these breakthroughs are building the foundation for an AI-native health system in this new era.",Healthcare & Life Sciences,"CUDA, BioNeMo, Clara Guardian, Clara Holoscan, Clara Parabricks, MONAI, NVIDIA NIM, CUDA-Q"
S81859,CUDA: New Features and Beyond [S81859],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81859/,"Stephen Jones (CUDA Architect, NVIDIA)","The CUDA platform is the foundation of the GPU computing ecosystem. Every application and framework that uses the GPU does so through CUDA's libraries, compilers, runtimes and language—which means CUDA is growing as fast as its ecosystem is evolving. Presented by one of the architects of CUDA, at this engineering-focused talk you will learn about all that's new and what's coming next for both CUDA and GPU computing as a whole.",All Industries,CUDA
S81796,From Cluster to Factory: Scale AI Infrastructure Operations With Software-Defined Intelligence [S81796],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81796/,"Premal Savla (Sr. Director of Product Management, DGX Systems and Solutions, NVIDIA); Jon Klinginsmith (Executive Director of Cloud Engineering and High Performance Computing, Lilly USA, LLC)","Be among the first to hear how software-defined intelligence is aiding enterprises to scale AI operations. Hear directly from an AI innovator as they reveal key learnings from deploying NVIDIA DGX, sharing firsthand insights into architecting and deploying high-performance AI infrastructure and orchestrating complex inference and training workflows. In this session, we’ll also discuss the critical role of software for NVIDIA Rubin and how to simplify complex liquid-cooled deployments at scale, boost site reliability engineering (SRE) productivity, and enable enhanced AI-powered anomaly detection and remediation across the entire AI factory.",All Industries,"DGX Platform, Base Command Manager, NVIDIA Run:ai, Mission Control"
S81643,How Simulation and AI are Giving Life to Digital Twins for Patient Care [S81643],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81643/,"Jim Peichel (CTO, Medtronic); Mark Palmer (Field CTO and Lead Chief Technologist, Healthcare, Ansys, part of Synopsys)","Simulation has evolved from a niche research tool to a cornerstone of modern healthcare innovation. Early breakthroughs focused on GPUs to accelerate physical interactions for device design and testing. Today, the scope is much broader—incorporating physiological processes such as respiration, cardiac motion, and electrophysiology. These comprehensive simulations are already being used to conduct virtual clinical trials and train autonomous surgical robots. We're helping to build the future in which AI is used to design, accelerate, and interpret these simulations, enabling digital twins that guide the care of each and every patient. Throughout the day, as your smart watch records your activities or during surgical procedures when unexpected events occur, your AI-enabled digital twin will be there to detect, diagnose, and suggest the treatment that provides the best outcome for you.",Healthcare & Life Sciences,"Grace CPU, Hopper, Modulus, OVX, MONAI, Cosmos"
S81612,Practical Context Engineering: Eliminate Bugs With High-Signal AI Code Review [S81612],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81612/,"David Loker (Director of AI, CodeRabbit); Harjot Gill (CEO, CodeRabbit, Inc.)","AI-assisted coding has sped up code generation, but human-only code reviews are now the bottleneck. Too many pull requests (PRs), not enough reviewer bandwidth. This session shows how you can build the right context-engineering architecture that helps LLMs deliver high-signal AI code reviews. Catch logical or functional bugs, memory leaks, security vulnerabilities, code refactors, edge cases, and more. You'll see how bringing in the right context from external datasets (such as code graphs, PR history, issue tickets, MCP servers, and linters) yields better-quality reviews of PR diffs. You will leave with a practical playbook to pilot and scale AI code reviews that increase your release velocity with fewer bugs.",All Industries,NVIDIA NIM
S81695,Racing to the Top: How We Scaled Kimi K2 [S81695],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81695/,"Zhilin Yang (Founder and CEO, Moonshot AI)",Explore how we scaled Kimi K2 by pioneering the Muon optimizer to double token learning efficiency and maximize training throughput through Day 0 infrastructure co-design. Gain insights into AI-native training and linear attention architectures to help you unlock the potential of longer-running agents.,All Industries,"Hopper, Blackwell"
S81755,"Scaling AI Agents Globally Across Brands, Use Cases, and Restaurants [S81755]",Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81755/,"Cameron Davies (Chief Data Officer, Yum! Brands); Joey Conway (NVIDIA); Andrew Sun (Director, Business Development - Retail/CPG/QSR, NVIDIA)","Scaling and deploying AI into restaurant operations requires unique technology and partners. Learn how Yum! Brands, the world’s largest restaurant company, is using NVIDIA software to scale intelligence into their restaurant technology, expanding use cases, applications, and partners.",Service,"Jetson, DeepStream, DALI, Data Science Workbench, JetPack, NeMo, NVIDIA NIM, NVIDIA AI Enterprise"
S81491,Security for the AI-First Enterprise [S81491],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81491/,"David Reber (CSO, NVIDIA)","As AI transforms every layer of modern computing, security must evolve in parallel—shifting from a separate function to an embedded capability woven into every stage of innovation. Today’s CISOs and security leaders are moving beyond reactive defense, redefining their roles as proactive business enablers who accelerate safe adoption of AI, cloud, and emerging technologies. This talk explores how that shift is reshaping security architectures, operating models, and organizational influence. Finally, it highlights why meaningful collaboration across industry, academia, and government is no longer optional. Addressing global cyber threats at AI scale demands shared intelligence, coordinated standards, and partnerships that blend cutting-edge research with real-world deployment. Together, these forces define the future of secure innovation.",Public Sector and Sovereign AI,"NVIDIA NIM, NVIDIA AI Enterprise"
S82003,Telecom Special Address: The AI Grid—Intelligently Connecting AI Infrastructure [S82003],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s82003/,"Ronnie Vasishta (Sr. Vice President, Telecommunications, NVIDIA)","The unsatiable demand for AI computing is creating the need for many new kinds of AI infrastructure providers. As AI inference traffic scales, compute must move beyond a few centralized data centers to a vast, distributed AI grid. Telcos, with their nationwide networks and dense footprint of data centers, are uniquely positioned to transform existing infrastructure into this scaled AI grid. This talk explores how telcos can build an AI grid to power new AI services and applications, gives a first look at NVIDIA’s reference architecture, highlights edge AI applications that run best on this grid, and shares announcements from partners already on this journey. It also offers a forward-looking view of how innovations in AI-RAN, autonomous networks, and 6G come together as workloads on the AI grid—creating a once-in-a-decade opportunity for telcos to redefine their role in the AI era.",Telecommunications,"BlueField DPU, Cloud / Data Center GPU, RTX GPU, CUDA, TensorRT, Aerial, Infiniband Networking, Ethernet Networking, Interconnect Networking, NeMo, NVIDIA NIM, DGX Spark"
S81748,The AI-XR Co-Scientist Lab: How Stanford's LabOS is Accelerating Advanced Science With XR [S81748],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81748/,"Le Cong (Professor, Stanford University); Mengdi Wang (Professor, Princeton University)","What if we could dramatically shorten the path from discovery to lifesaving therapy? Discover how Stanford Medicine’s LabOS, an AI extended reality (XR) operating system, makes this a reality. Learn how LabOS drives CRISPR GPT, a groundbreaking AI agent to design complex experiments and deliver step-by-step instructions through augmented reality glasses. LabOS unites computational reasoning with physical experimentation, built on NVIDIA Cosmos-powered XR/AI system. By connecting multi-model AI agents, smart glasses, and robots, LabOS allows AI to see what scientists see, understand experimental context, and assist in real-time execution. From immunotherapy to stem cell engineering, LabOS turns any lab into an intelligent environment where human and machine discovery evolve together—not just accelerating research, but delivering personalized, accessible therapies at unprecedented scale.",Healthcare & Life Sciences,"NVIDIA AI Enterprise, Cosmos"
S81778,The Creative OS: AI Built With Human Imagination at the Center [S81778],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81778/,"Stef Corazza (Head of AI Research, Canva)","Explore how Canva engineered AI systems with foundational models that understand creative context; preserve artistic control; and amplify, rather than replace, imagination. We'll share technical approaches for building AI platforms and products where AI becomes an invisible enabler, letting designers focus on their work, from editable designs to video, from web apps to interactive experiences.",Media & Entertainment,"Cloud / Data Center GPU, CUDA, HPC SDK, cuBLAS, cuDDN, cuFFT, NCCL, NSight Comute, NSight Systems"
S81769,The Era of GPU Data Processing: From SQL to Search and Back Again [S81769],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81769/,"Todd Mostak (Sr. Director of Engineering, NVIDIA); Joshua Patterson (VP, Solutions Architecture - Accelerating Data Processing, NVIDIA)","This session delivers a technical state of the union on GPU-accelerated data processing across SQL/DataFrames, vector search, ML, and decision optimization. Learn how GPU-native engines enable interactive analytics on massive lakehouse-scale datasets, real-time semantic and vector search over billions of embeddings, and makes the hardest ML and decision science workloads tractable, cost-efficient, and energy-efficient. The talk highlights the implications for high-impact scientific and enterprise computing, then looks ahead to what’s in flight for 2026 and beyond, outlining concrete architectural patterns and practical guidance for building the next generation of GPU-accelerated data platforms and using them in your day-to-day work.",All Industries,"Cloud / Data Center GPU, Grace CPU, RTX GPU, DGX Platform, RAPIDS, Infiniband Networking, Ethernet Networking, Interconnect Networking, Blackwell"
S81715,Turning Models Into Engines: The AI Factory Era [S81715],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81715/,"Jean-Olivier Gerphagnon (Software Architect, Mistral AI); Gauthier Delerce (HPC Lead, Mistral AI)","Step inside Mistral’s journey to industrial-scale AI as we share lessons learned and the principles guiding our approach in creating Mistral Compute. Built on four key pillars—open-source foundations, security by design, sustainability at scale, and digital sovereignty—we’ll share how our approach unlocks bare-metal GPU performance, why that matters in building trusted, European-hosted future-ready AI systems, and how we’re bringing collaboration to the next level by giving innovators access to the same infrastructure powering our models.",Cloud Services,"BlueField DPU, Cloud / Data Center GPU, Grace CPU, Infiniband Networking, Ethernet Networking, Interconnect Networking, Blackwell"
S81584,Autonomous AI Factories: A Technical Preview of Agent-Native Production [S81584],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81584/,"JP Vasseur (Sr. Distinguished Engineer and Chief Architect, NVIDIA); César Martinez Spessot (Technical Head of AI Infrastructure, Microsoft Research)","For two decades, the ""self-healing system"" was just a theory. Today, it's an architectural reality. This session unveils the blueprint for the fully autonomous AI factory—a cognitive system where fleets of specialized agents replace static operations such as issues detection and troubleshooting to deliver true self-governance. We'll move beyond the hype of simple chatbots to deconstruct a multi-agent architecture capable of complex reasoning, predictive failure analysis, and continuous self-improvement. But we won’t just tell you about it; we will show you. This session features a high-stakes LIVE DEMO of an autonomous multi-agent swarm connected to a large-scale production system. Watch in real time as agents detect (and predict) anomalies and use advanced tools for troubleshooting as the first self-healing AI platform for autonomous AI factories.",All Industries,"NCCL, NVLink / NVSwitch, NVIDIA AI Enterprise"
S81862,Bringing Physical AI to Smart Spaces [S81862],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81862/,"Carlos Garcia-Sierra (Product Manager - Metropolis AI Workflows, NVIDIA); Yi-Ting Wang (Director of Development, Linker Vision)","Creating truly scalable AI solutions for cities is a massive challenge, one that requires many AI models and platforms (and tons of data) working in harmony to make it possible. Announced at GTC Paris, NVIDIA Blueprint for smart city AI leverages 3-computer to activate physical AI and apply to cities for a unified, real-time intelligence solution for creating a smart city. Learn about the latest workflow updates. Linker Vision will share how they've been able to apply the blueprint with U.S. cities, from training models with synthetic data and NVIDIA Cosmos to deploying video analytics AI agents using NVIDIA Metropolis Blueprint for Video Search and Summarization (VSS) that leverages the fleet of camera sensors deployed in cities—an end-to-end approach to processing tens of thousands of camera streams for proactive automation of city operations, safety, and planning.",Smart Cities / Spaces,"DeepStream, Omniverse, Metropolis, TAO Toolkit, NVIDIA AI Enterprise, Cosmos, Blueprint"
S81636,Building Shopify’s Commerce Foundation Models [S81636],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81636/,"Yang Liu (Sr. Staff Machine Learning Engineer, Shopify); Diego Ardila (Sr. Staff Machine Learning Engineer, Shopify)","Modern commerce platforms must support millions of entrepreneurs while serving billions of buyers with personalized recommendations across massive product catalogs. To bridge this gap, we introduce Shopify’s Commerce Foundation Models: sequence autoregressive models built on the HSTU encoder to represent the journeys of merchants and buyers. Key innovations include generalizing to multiple tasks, large-scale contrastive learning, temporal encoding that fuses multi-scale time signals with commerce-specific features, and the scaling to petabytes volumes of data training and on-demand inference via CUDA kernels developed in collaboration with NVIDIA. While results are promising, challenges remain in handling non-stationary preferences and multi-objective optimization. We discuss our roadmap toward truly foundational commerce models that generalize across domains and market conditions.",Retail / Consumer Packaged Goods,"CUDA, cuBLAS"
S81874,Charting a Course for the Next Decade of Gaming with AI [S81874],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81874/,"John Spitzer (VP of Developer Performance and Technology, NVIDIA); Duygu Cakmak (R&D Director, Creative Assembly); Kangwook Lee (Head of KRAFTON AI, Krafton); Dean Leitersdorf (CEO, Decart)","AI is fundamentally transforming real-time applications, reshaping both content creation and player experiences. Join John Spitzer, VP of Developer Technology and Performance at NVIDIA, for an industry panel featuring leaders from Creative Assembly, Decart, and Krafton. These panelists will explore the current state of the art—from breathing life into digital humans to generating entire worlds instantaneously—and offer their vision for the future of gaming and entertainment.",Gaming,"RTX GPU, Audio2Face, Avatar Cloud Engine (ACE), NeMo"
S81492,How Disney Droids Come to Life With Physics Simulation [S81492],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81492/,"Moritz Baecher (Director, Research Lab Zurich, Disney Research Imagineering)","Experience the next generation of 3D simulation with Newton, an open-source, GPU-accelerated physics engine co-developed by NVIDIA, Disney Research, and DeepMind. Built on NVIDIA Warp with native OpenUSD integration, Newton delivers real-time simulation of complex physical interactions—from rigid and soft bodies to contact, friction, and actuators—enabling creators to push the limits of modern 3D workflows.",All Industries,"CUDA, Isaac"
S81628,MLOps 101: Platforms and Processes for Building AI [S81628],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81628/,"Michael Balint (Director, Product Architecture, NVIDIA); William Benton (Principal Product Architect, NVIDIA)","As AI adoption accelerates across every industry, teams are discovering that model quality alone is not quite enough to deliver real value. Scalable and reliable AI systems depend on robust MLOps that streamline the entire life cycle, from data to deployment. At the same time, the field is undergoing a major transformation driven by agentic AI, advanced reasoning, multi-modality, and new patterns for large-scale, disaggregated inference. This session introduces the foundational patterns of MLOps while also exploring how these new capabilities reshape AI design and operational strategy. We'll examine several use cases to break down the process and ideal platform for MLOps in this new era. Whether you're launching your first AI initiative or modernizing your infrastructure, this session provides the technical blueprint and best practices you need to operationalize AI at scale.",All Industries,"NVIDIA NIM, NVIDIA AI Enterprise, NVIDIA Run:ai"
S82132,The Blueprint for a Modern Resource-Responsible AI Factory [S82132],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s82132/,"Gerard Bernabeu Altayo (Compute Systems Lead, Hudson River Trading)","Hudson River Trading (HRT) is at the forefront of automated trading, processing vast amounts of data at lightning speeds. But their most impressive metric might be their efficiency. In this session, HRT engineers reveal how they are leveraging NVIDIA infrastructure to build the ultimate ""AI factory."" Discover how to break the trade-off between speed and sustainability. We will cover the end-to-end journey of deploying AI-driven trading models that are faster, smarter, and greener. Learn how innovative data center design, renewable power strategies, and NVIDIA-optimized workloads combine to create a trading infrastructure that is resilient, autonomous, and environmentally conscious.",Financial Services,"HGX, Ethernet Networking"
S81804,The Genesis of Accelerated Quantum Supercomputing: Unifying AI and Quantum [S81804],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81804/,"Sam Stanwyck (Group Product Manager, NVIDIA)","The path to a fault-tolerant quantum computer (FTQC) is not solely a physics challenge; it is an AI and supercomputing challenge. This talk outlines the singular mission required to deliver scientifically useful accelerated quantum supercomputers by 2028: the complete convergence of AI with quantum hardware, systems, and algorithms. We will also present the blueprint for a collaborative and open quantum ecosystem. By leveraging open standards in software, CUDA-Q, interconnects, and NVQLink, we are creating a unified, hybrid infrastructure where national labs, startups, and industry partners can collaborate.",HPC / Scientific Computing,"Grace CPU, DGX Platform, CUDA, cuQuantum, CUDA-X, Blackwell, CUDA-Q"
S81690,Transform Content Delivery With Generative AI at the Edge [S81690],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81690/,"Kevin Deierling (SVP, Networking, NVIDIA)","As AI reshapes digital experiences, content delivery needs a major transformation. Traditional networks built for static caching can’t meet real-time, personalized expectations. Modern applications require generative AI inference at the edge, close to users and data, to meet strict performance, privacy, and efficiency needs. Learn how edge AI redefines how content is created, delivered, and monetized. By combining generative, agentic, and future physical AI with NVIDIA accelerated computing and software, you can synthesize content in real time and tailor experiences to users and markets. Learn how advanced edge compute and intelligent data systems reduce data movement, maintain sovereignty, and deliver adaptive, low-latency experiences across augmented/virtual reality, internet of things, and autonomous systems. Join us to see how Gen AI at the edge unlocks new value and innovation.",All Industries,"BlueField DPU, RTX GPU, DOCA, Ethernet Networking, NVIDIA NIM, Blackwell, NVIDIA AI Enterprise"
S81836,Visual AI Agents for Real-Time Video Understanding [S81836],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81836/,"Roopa Prabhu (Sr. Director of Engineering, NVIDIA); Adam Ryason (Product Manager, NVIDIA AI Blueprint for Video Search and Summarization (VSS), NIVIDIA)","The next generation of visual AI agents starts with NVIDIA Blueprint for video search and summarization (VSS), which enables the creation of interactive analytical agents that reason through massive amounts of video, assess physical processes, and provide decision-making insights to streamline operations. The blueprint combines powerful vision language models (VLMs), advanced search capabilities with large language models, and Cosmos Reason VLM into a full suite of software for building, We've made it easier to customize and deploy at the edge, on-premises, or in the cloud. Be the first to hear about the new features of VSS to accelerate your AI agent development.",All Industries,"DeepStream, TensorRT, Metropolis, CV-CUDA, TAO Toolkit, NVIDIA AI Enterprise"
S81629,Accelerate Power Grid Interconnection for Load and Generation Using Agentic AI and Digital Twins [S81629],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81629/,"Felek Abbas (SVP and CTSO, Southwest Power Pool); Ahsan Yousufzai (Global Head Energy Surface, NVIDIA); Shinjini Menon (SVP, System Planning & Engineering, Southern California Edison); Vera Silva (Chief Strategy and Technology Officer, GE Vernova)","For AI and data center growth, time-to-power is most critical bottleneck. In the United States, average time for interconnection is between three to five years. This panel with ERCOT, SPP, Southern California Edison, and CenterPoint will discuss how they are using agentic AI and digital twins to better understand existing capacity, peak loads, and accelerating the interconnection process.",Energy,"BlueField DPU, Omniverse, RAPIDS, Modulus, CUDA-X, cuOPT, NeMo, Omniverse Replicator, NVIDIA NIM, Blackwell, NVIDIA AI Enterprise"
